,City,Country,Lat,Lng,Hotel_name
107,whitehorse,CA,60.72,-135.06,The Sternwheeler Hotel & Conference Centre
108,bonthe,SL,7.53,-12.5,Bonthe Holiday Village
109,bara,NG,10.41,10.6,
110,lompoc,US,34.64,-120.46,Holiday Inn Express Lompoc
111,port blair,IN,11.67,92.75,Fortune Resort Bay Island
112,bredasdorp,ZA,-34.53,20.04,Bredasdorp Country Manor
113,thinadhoo,MV,0.53,72.93,
114,koumac,NC,-20.56,164.28,Le Monitel
115,faanui,PF,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
116,xam nua,LA,20.42,104.04,Phoudy Guesthouse
117,east london,ZA,-33.02,27.91,Tu Casa
118,sao filipe,CV,14.9,-24.5,Tortuga B&B
119,deputatskiy,RU,69.3,139.9,Baza Otdykha
120,chuy,UY,-33.69,-53.46,Nuevo Hotel Plaza
121,sitka,US,37.17,-99.65,
122,forio,IT,40.73,13.86,Hotel Terme Providence
123,russkaya polyana,RU,53.78,73.88,Лагуна
124,san felipe,CL,-32.75,-70.73,Hostel San Felipe
125,arraial do cabo,BR,-22.97,-42.02,Pousada Porto Praia
126,margate,AU,-43.03,147.26,Villa Howden
127,aklavik,CA,68.22,-135.01,Aklavik Inn
128,lokosovo,RU,61.13,74.84,
129,paita,PE,-5.09,-81.11,Hotel Náutico de Paita
130,cravo norte,CO,6.3,-70.2,Hotel El Puerto
131,motygino,RU,58.18,94.69,"Gostinitsa ""Uyut"""
132,west wendover,US,40.74,-114.07,"Motel 6 Wendover, UT"
133,adrar,DZ,27.87,-0.29,s.e.t.setif entenne d'adrar
134,melfi,IT,41.0,15.66,HOTEL TERME DI RAPOLLA
135,kibaya,RW,-2.2,30.56,Kibungo - Centre St. Joseph Guest House
136,iqaluit,CA,63.75,-68.52,Frobisher Inn
137,lavrentiya,RU,65.58,-170.99,
138,morondava,MG,-20.3,44.28,La Case Bambou
139,vaini,IN,15.34,74.49,Dandeli Lake County
140,georgetown,GY,6.8,-58.16,Kanhai's Center
141,sanchazi,CN,30.43,103.62,Yingbin Hotel
142,sarai mir,IN,26.02,82.92,Haji Munshi Kahn Read Sherwan
143,yichun,CN,47.72,128.88,锦江酒店
144,plainview,US,34.18,-101.71,Holiday Inn Express & Suites Plainview
145,comodoro rivadavia,AR,-45.87,-67.48,Austral Hotel
146,nardaran,AZ,40.56,50.01,Bilgah Beach Hotel
147,nagua,DO,19.37,-69.85,Hotel Cambri
148,ibra,OM,22.69,58.55,مزرعة راحة النفوس المنزفة
149,ganzhou,CN,25.86,114.93,Languan Boutique Hotel
150,talnakh,RU,69.49,88.39,Talnakh Hotel
151,coahuayana,MX,18.62,-100.35,
152,sinnamary,GF,5.38,-52.96,ALETHEIA Appartement Sinnamary
153,porto novo,BR,-23.68,-45.44,Harmonia
154,havoysund,NO,71.0,24.66,Arctic View Glamping & Restaurant
155,bjornevatn,NO,69.67,29.98,Snowhotel Kirkenes | Gamme Northern Lights Cabins
156,narsaq,GL,60.91,-46.05,Hotel Narsaq
157,charlestown,US,41.38,-71.64,Charlestown Breachway
158,trat,TH,12.25,102.51,Hotel Toscana Trat
159,manado,ID,1.49,124.85,Aryaduta Hotel
160,trapani,IT,38.02,12.54,Hotel Vittoria
161,sao joao da barra,BR,-21.64,-41.05,Pousada Porto De Canoas
162,saint-philippe,CA,45.36,-73.48,Camping St-Andre
163,haines junction,CA,60.75,-137.51,Parkside Inn
164,kathmandu,NP,27.71,85.32,Hotel Shanker Kathmandu
165,norman wells,CA,65.28,-126.83,Heritage Hotel
166,brainerd,US,46.36,-94.2,Holiday Inn Express & Suites Brainerd-Baxter
167,yumen,CN,40.29,97.04,玉门宾馆
168,straumen,NO,63.87,11.3,Jægtvolden Fjordhotell
169,camacha,PT,33.08,-16.33,Hotel Porto Santo & Spa
170,teya,MX,21.05,-89.07,Tixcochoh
171,vitim,RU,59.44,112.57,Gostinitsa V Apteke
172,antsohihy,MG,-14.88,47.99,Hotel de Ville
173,kavieng,PG,-2.57,150.8,Nusa Island Retreat
174,la esperanza,HN,14.31,-88.18,Hotel Ipsan-Nah
175,clyde river,CA,70.47,-68.59,Qamaq Hotel
176,nador,MA,35.17,-2.93,Hôtel La Giralda
177,keflavik,IS,64.0,-22.56,Hotel Keflavik
178,faya,SA,18.39,42.45,مقبرة ال مجمل
179,chokurdakh,RU,70.62,147.9,
180,le marin,MQ,14.47,-60.87,Résidence des îles
181,tasiilaq,GL,65.61,-37.64,The Red House
182,udachnyy,RU,66.42,112.4,Gostinitsa Vilyuy
183,monrovia,LR,6.33,-10.8,Eco-Hotel Hall & Restaurant
184,burnie,AU,-41.05,145.91,Beachfront Voyager Motor Inn
185,kaitangata,NZ,-46.28,169.85,Kaitangata Motor Camp
186,yamada,JP,36.58,137.08,Yamada Onsen Genenro
187,mackay,CA,53.65,-115.58,Nojack Provincial Recreation Area
188,lagoa,PT,37.14,-8.45,Vale da Lapa Village Resort
189,bluff,AU,-23.58,149.07,Bluff Hotel
190,saint-georges,CA,46.12,-70.67,"Le Georgesville, centre de congrès et hôtel"
191,naryan-mar,RU,67.67,53.09,Hostel Agat
192,port hedland,AU,-20.31,118.58,The Esplanade Hotel
193,hithadhoo,MV,-0.6,73.08,Scoop Guest House
194,beringovskiy,RU,63.05,179.32,Beringgorski
195,codrington,AU,-28.95,153.24,
196,ilulissat,GL,69.22,-51.1,Hotel Arctic
197,coquimbo,CL,-29.95,-71.34,Hotel San Juan
198,grand baie,MU,-20.02,57.58,Trou aux Biches Beachcomber Golf Resort & Spa
199,kaabong,UG,3.51,34.14,Rock Motel Ltd
200,lazaro cardenas,MX,28.39,-105.62,Hotel Los Naranjos
201,luanda,AO,-8.83,13.24,EPIC SANA Luanda
202,rio gallegos,AR,-51.62,-69.22,Hotel Santa Cruz
203,namatanai,PG,-3.66,152.44,Namatanai Hotel
204,severo-kurilsk,RU,50.68,156.12,Kak Doma
205,hutang,CN,29.22,119.85,Jinhua Service Area Pod Inn Yibaiju
206,namioka,JP,40.71,140.59,Restaurant & INN Sunrise
207,mnogovershinnyy,RU,53.94,139.92,Kvartsevaya Sopka
208,san rafael del sur,NI,11.85,-86.44,Hospedaje El Chino
209,paamiut,GL,61.99,-49.67,Yeet Hotel
210,ribeira grande,PT,38.52,-28.7,Quinta da Meia Eira
211,labuhan,ID,-2.54,115.51,Pondok Indah Gula Habang
212,mount gambier,AU,-37.83,140.78,Commodore on the Park
213,pesca,CO,5.56,-73.05,Posada el portal de la Loma
214,mount isa,AU,-20.73,139.49,ibis Styles Mt Isa Verona
215,le port,FR,42.87,1.37,Tapovan
216,hobart,AU,-42.88,147.33,St Ives Hobart Accommodation Tasmania
217,dublin,IE,53.35,-6.26,The Morgan Hotel
218,salalah,OM,17.01,54.1,HAMDAN PLAZA HOTEL
219,beisfjord,NO,68.38,17.6,
220,ust-tsilma,RU,65.44,52.15,U Praskov'i
221,marawi,PH,8.0,124.29,Derogongan Residence
222,samana,EC,0.12,-76.97,Rancho La Escondida
223,koronowo,PL,53.31,17.94,ORW Julia
224,ekimchan,RU,53.07,132.94,"Mini-Gostinitsa ""Ekimchan"""
225,carnarvon,ZA,-30.97,22.13,Maritza Bed & Breakfast
226,saint-denis,FR,48.94,2.36,B&B HOTEL
227,tabas,IR,33.6,56.92,شرکت معماری مهراز شایگان آراد
228,san pedro,AR,-33.68,-59.66,Posada de los Suenos
229,aketi,CD,2.74,23.78,
230,moses lake,US,47.13,-119.28,Ramada by Wyndham Moses Lake
231,mocuba,MZ,-16.84,36.99,Phama Lodge
232,hamilton,CA,43.26,-79.87,Sheraton Hamilton Hotel
233,san juan del sur,NI,11.25,-85.87,Nuestra Casa
234,katobu,ID,-4.94,122.53,La Ode Husein
235,banjar,ID,-7.37,108.54,OYO 2488 Villa Tirta Melati Syariah
236,provideniya,RU,64.42,-173.23,
237,andradas,BR,-22.07,-46.57,Andradas Palace Hotel
238,bose,IT,45.46,8.01,Locanda Borgo Antico
239,manzhouli,CN,49.6,117.43,Angala International Youth Hostel
240,lockhart,AU,-35.22,146.72,Railway Hotel
241,anadyr,RU,64.73,177.51,"Гостиница ""Анадырь"""
242,bandarbeyla,SO,9.49,50.81,REER XOOSHLE GROUP
243,buchach,UA,49.06,25.39,Mandry
244,pasni,PK,25.26,63.48,PHE Rest House
245,tuktoyaktuk,CA,69.44,-133.03,End of The Road Ltd.
246,okha,RU,53.59,142.95,Империя
247,puerto escondido,MX,15.86,-97.07,Aldea del Bazar Hotel and Spa
248,ancud,CL,-41.87,-73.83,Hotel Arena Gruesa
249,lebu,ET,8.96,38.73,Dah-Lak Guest House
250,port lincoln,AU,-34.72,135.86,Port Lincoln Hotel
251,leningradskiy,RU,69.38,178.42,
252,kajaani,FI,64.22,27.73,Original Sokos Hotel Valjus
253,murray bridge,AU,-35.12,139.28,Balcony On Sixth Lodge
254,rocha,UY,-34.48,-54.34,Beleza Pura B&B
255,tagusao,PH,9.19,117.81,"Shaman's Breath- Beach, Bed & Breakfast"
256,cobija,BR,-11.02,-68.77,Estrella del Norte Cobija Hotel
257,port-gentil,GA,-0.72,8.78,Fengshui Residence
258,te anau,NZ,-45.41,167.72,Kingsgate Hotel Te Anau
259,hami,CN,42.84,93.51,Post And Telecommunication Hotel
260,pahrump,US,36.21,-115.98,Best Western Pahrump Oasis
261,fort frances,CA,48.61,-93.4,LA PLACE RENDEZ-VOUS
262,umtata,ZA,-31.59,28.78,LLZZ Boutique Lodge
263,markova,RU,52.21,104.21,"Elderly ""Sosnovy Bor"""
264,saint-leu,RE,-21.15,55.28,La Caz Oceane
265,jalu,LY,29.03,21.55,Jalu Hotel
266,alice springs,AU,-23.7,133.88,Desert Palms Alice Springs
267,zaraza,VE,9.35,-65.33,Hotel Zaraza
268,dingle,PH,11.0,122.67,Camp Pasica
269,bodden town,KY,19.28,-81.25,Will T Place
270,griffith,AU,-34.29,146.06,Econo Lodge Griffith Motor Inn
271,coihaique,CL,-45.58,-72.07,Diego De Almagro Coyhaique
272,sao felix do xingu,BR,-6.64,-51.99,Apart Hotel Rio Xingu
273,santa rosa,AR,-36.62,-64.29,Hotel Calfucurá
274,goderich,CA,43.74,-81.71,Harmony Inn
275,vila velha,BR,-3.71,-38.6,Hotel Iparana Paradise
276,rabo de peixe,PT,37.8,-25.58,Quinta das Giestas
277,soyo,AO,-6.13,12.37,Hotel Mpampa
278,cayenne,GF,4.94,-52.33,Hôtel Le Dronmi
279,saldanha,PT,41.42,-6.55,Quinta das amendoeiras BF
280,santa ines,EC,-0.82,-78.63,La Casa Del Inca
281,hasaki,JP,35.73,140.83,Inubosaki Kanko Hotel
282,slave lake,CA,55.28,-114.77,Super 8 by Wyndham Slave Lake AB
283,christchurch,NZ,-43.53,172.64,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
284,kibakwe,TZ,-6.71,36.37,
286,san andres,PH,13.32,122.68,El Fresco Lodge
287,pangnirtung,CA,66.15,-65.72,Kilabuk Lodge
288,san quintin,PH,17.54,120.52,San Quintin River Resort
289,union,US,47.36,-123.1,Alderbrook Resort & Spa
290,dudinka,RU,69.41,86.18,Hotel Viktoria
291,florida,CU,21.53,-78.23,Hostal Doctores Cossio
292,madikeri,IN,12.42,75.74,Club Mahindra Madikeri Resort In Coorg
293,esperance,TT,10.24,-61.45,Vs Plaza Hotel
294,takoradi,GH,4.89,-1.75,Raybow International Hotel
295,lokomotivnyy,RU,53.01,60.57,
296,khash,IR,28.22,61.21,داروخانه دامپزشکی سارانی
297,mogok,MM,22.92,96.51,MOGOK HILL HOTEL
298,mikkeli,FI,61.69,27.27,Original Sokos Hotel Vaakuna Mikkeli
299,jiuquan,CN,39.73,98.49,Jiuquan Hotel
300,betafo,MG,-19.84,46.86,FJKM ATSIMONIAVOKO MIFANKATIA
301,aitape,PG,-3.15,142.36,郭超本度假酒店
302,alofi,NU,-19.06,-169.92,Taloa Heights
303,yulara,AU,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
304,kvarkeno,RU,52.08,59.73,"Ooo ""Kvarkeno"""
305,salinopolis,BR,-0.61,-47.36,Hotel Salinópolis
306,chunhuhub,MX,19.59,-88.59,Hotelito Noe
307,dunedin,NZ,-45.87,170.5,Scenic Hotel Southern Cross
308,nioro,GM,13.79,-15.05,
309,upernavik,GL,72.79,-56.15,Gina's Guesthouse - Upernavik
310,airai,TL,-8.93,125.41,Juvinal Martin
311,balkanabat,TM,39.51,54.36,Nebitchi Hotel
312,syumsi,RU,57.11,51.61,"Gostinitsa ""Polar"""
313,loukhi,RU,66.08,33.04,Хостел Северяночка
314,baruun-urt,MN,46.68,113.28,Ахмадын амралт сувилал
315,miraflores,CO,5.2,-73.14,Hotel Encanto Real
316,gunjur,GM,13.18,-16.76,Boboi Beach Lodge
317,wajima,JP,37.4,136.9,Wajiima Onsen Yashio
318,buala,SB,-8.15,159.59,Maringe Lagoon Lodge
319,acari,BR,-6.44,-36.64,Chácara Astepoc
320,banfora,BF,10.64,-4.75,Residences David Hebié
321,mandera,ET,3.94,41.86,Mwalimu Lodge
322,tshikapa,CD,-6.42,20.79,hôtel paradis de Tshikapa
323,juneau,US,58.3,-134.42,"Baranof Downtown, BW Signature Collection"
324,sidney,US,47.72,-104.16,Holiday Inn Express & Suites Sidney
325,edd,ER,13.93,41.69,
326,cockburn town,TC,21.46,-71.14,Osprey Beach Hotel
327,kizukuri,JP,40.81,140.39,Hotel Sunroute Patio Goshogawara
328,vung tau,VN,10.35,107.08,Seaside Resort
329,mahon,IE,51.89,-8.4,The Montenotte Hotel
330,biltine,TD,14.53,20.93,Hôtel Trois Étoiles de Biltine
331,ishigaki,JP,24.34,124.16,Hotel Peace Land Ishigakijima
332,morant bay,JM,17.88,-76.41,Whispering Bamboo Cove Resort
333,raduzhnyy,RU,62.1,77.47,Gostiny Dvor Evgeniya
334,san patricio,PY,-26.98,-56.83,"Granja ""La Blanca"""
335,hulan ergi,CN,47.2,123.63,Qiqihaer Zhongtian Hotel
336,thayetmyo,MM,19.32,95.18,Ngwe Sin Kyal Guest House
337,acapulco,MX,16.86,-99.88,HS Hotsson Smart Acapulco
338,port shepstone,ZA,-30.74,30.45,My Den Beachfront B&B And Self-Catering
339,tautira,PF,-17.73,-149.15,Pension Oaoa
340,la libertad,PE,-16.38,-71.56,Casa de Avila Hotel
341,raymond,US,43.04,-71.18,Englewood Mobile Home Park
342,road town,VG,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
343,yar-sale,RU,66.83,70.83,Yalemd
344,iwanai,JP,42.97,140.51,いわない高原ホテル
345,eseka,CM,3.65,10.77,Hotel Eseka Palace
346,chiredzi,ZW,-21.05,31.67,The Nesbitt Arms
347,tigil,RU,57.8,158.67,Tigil'
348,avera,US,33.19,-82.53,
349,muzhi,RU,65.4,64.7,
350,komsomolskiy,RU,67.55,63.78,
351,chapais,CA,49.78,-74.86,Hôtel Opémiska
352,biak,ID,-0.91,122.88,Kost Ariz
353,darhan,MN,49.49,105.92,Buudai Hotel
354,daru,SL,7.99,-10.85,
355,onokhoy,RU,51.92,108.05,
356,leh,IN,34.16,77.58,Hotel Ladakh Greens
357,banda aceh,ID,5.56,95.32,OYO 884 Rumoh PMI Hotel
358,alyangula,AU,-13.85,136.42,Groote Eylandt Lodge
359,sorland,NO,67.67,12.69,Sjybrygga fiskecamp
360,fort nelson,CA,58.81,-122.69,The Fort Nelson Hotel
361,boyolangu,ID,-8.09,111.9,Hotel Istana
362,datong,CN,40.09,113.3,Holiday Inn Datong City Centre
363,vila franca do campo,PT,37.72,-25.43,Pestana Bahia Praia
364,akureyri,IS,65.68,-18.09,Icelandair Hotel Akureyri
365,ulladulla,AU,-35.36,150.48,Sandpiper Motel
366,ust-barguzin,RU,53.41,109.03,Chivurkiyskaya Skazka
367,pampierstad,ZA,-27.78,24.69,BAROLONG METHODIST CHURCH
368,zyryanovsk,KZ,49.74,84.27,Гостиница «ЭВЕРЕСТ»
369,cooma,AU,-36.24,149.13,High Country Motel
370,sfantu gheorghe,RO,44.65,26.83,Motel Valentina
371,carballo,ES,43.21,-8.69,Pazo do Souto
372,shimoda,JP,34.7,138.93,Shimoda Tokyu Hotel
373,novonukutskiy,RU,53.7,102.71,Gostinitsa
374,reguengos de monsaraz,PT,38.42,-7.53,Residencial O Gato
375,ocean city,US,30.44,-86.61,Fairfield Inn & Suites Fort Walton Beach - Eglin AFB Hotel
376,qinhuangdao,CN,39.94,119.59,Qinhuangdao Peninsula Seasons Hotel And Apartment
377,muskegon,US,43.23,-86.25,"Shoreline Inn & Conference C, Ascend Hotel Collection"
378,kargasok,RU,59.06,80.87,Hotel Kargasok
379,auki,NG,12.18,6.51,
380,kayseri,TR,38.73,35.48,ibis Kayseri
381,quanzhou,CN,24.9,118.59,Super 8 Hotel Quanzhou new station shop
382,nago,IT,45.88,10.89,Hotel Garda
383,medicine hat,CA,50.04,-110.68,Ramada Limited Medicine Hat
384,cherskiy,RU,68.75,161.3,Gostinitsa
385,santa maria,BR,-29.69,-53.81,Hotel Morotin
386,north bend,US,43.41,-124.22,Red Lion Hotel Coos Bay
387,el alto,BO,-16.5,-68.19,Hotel El Retorno
388,geraldton,CA,49.72,-86.95,Victoria Bed & Breakfast
389,souillac,FR,45.6,-0.6,micka § elina
390,la ronge,CA,55.1,-105.3,Northland Motor Hotel
391,namibe,AO,-15.19,12.15,Hotel Chik Chik Namibe
392,westport,IE,53.8,-9.52,The Wyatt Hotel
393,juiz de fora,BR,-21.76,-43.35,Constantino Hotel
394,lagos,NG,6.46,3.39,"Radisson Blu Anchorage Hotel, Lagos, V.I."
395,half moon bay,US,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
396,nelson bay,AU,-32.72,152.14,Mantra Nelson Bay
397,tuatapere,NZ,-46.13,167.69,Ron and Tony's Bed & Breakfast
398,grindavik,IS,63.84,-22.43,Northern Light Inn & Max's Restaurant
399,xining,CN,36.62,101.77,Super Leisure Hotel
400,kieta,PG,-6.22,155.63,
401,kalabo,ZM,-15.0,22.67,HM Sams Lodge
402,sambava,MG,-14.27,50.17,Melrose
403,wawa,NG,9.9,4.41,
404,manama,AE,25.33,56.02,محمد بلال عبدالله البلوشي
405,labuan,BN,5.28,115.24,Tiara Labuan Hotel
406,wexford,US,40.63,-80.06,Econo Lodge
407,kyren,RU,51.68,102.13,"Energetik, Pansionat Ooo ""Grand Baykal"""
408,boquira,BR,-12.82,-42.73,Restaurante e Pousada Boquira
409,bathsheba,BB,13.22,-59.52,Atlantis Hotel
410,ogbomosho,NG,8.13,4.25,Living Soul Garden Hotel
411,longyearbyen,NO,78.22,15.63,"Radisson Blu Polar Hotel, Spitsbergen"
412,diu,IN,20.71,70.98,Hotel Relax Inn
413,shebalino,RU,51.29,85.68,Cafe Forsaz
414,kalat,PK,29.03,66.58,Balochistan Hotel
415,hare bay,CA,48.86,-53.99,
416,kirkuk,IQ,35.47,44.4,Bayaz Han (Beyaz Han)
417,tabou,CI,4.42,-7.36,Hotel Les Rochers
418,ahipara,NZ,-35.17,173.16,Ahipara Holiday Park
419,byron bay,AU,-28.65,153.62,Backpackers Inn on the Beach
420,isangel,VU,-19.55,169.27,Volcano Sea View Tree House
421,saint-joseph,FR,43.56,6.97,Hôtel Château de la Tour
422,susuman,RU,62.78,148.15,"Oao ""Susumanzoloto"""
423,plattling,DE,48.78,12.88,Hotel Zum Grünen Baum Plattling
424,arenapolis,BR,-14.45,-56.85,Mato Grosso Hotel
425,tocopilla,CL,-22.09,-70.2,Hotel Galvarino
426,arroyo,US,41.39,-78.88,Elk County Elk Farm
427,hastings,NZ,-39.64,176.84,Omahu Motor Lodge
428,okhotsk,RU,59.36,143.24,Prozhivaniye V Okhotske
429,maniitsoq,GL,65.42,-52.9,Hotel Heilmann Lyberth
430,meulaboh,ID,4.14,96.13,Kost Pria
431,cartagena del chaira,CO,1.33,-74.84,HOTEL LA ROCA
432,macau,BR,-5.11,-36.64,Hotel Gamboa
433,svodin,SK,47.91,18.5,
434,victoria,BN,5.28,115.24,Tiara Labuan Hotel
435,dong xoai,VN,11.53,106.92,Nhà Hàng Thiên Thanh - CT. TNHH Thiên Lộc
436,zaysan,KZ,47.47,84.87,Gostinitsa Aray
437,sioux lookout,CA,50.1,-91.92,Knobby's Fly-In Camps
438,waipawa,NZ,-39.94,176.59,T A Commercial Hotel
439,vila do maio,CV,15.13,-23.22,Residence 'I Delfini'
440,brae,GB,60.4,-1.35,Busta House Hotel
441,russkiy aktash,RU,55.04,52.12,Gostinitsa Ivushka
442,kokstad,ZA,-30.55,29.42,Majestic Bed and Breakfast
443,lucapa,AO,-8.42,20.74,Residência Ulisses Dos Santos
444,birjand,IR,32.86,59.22,تاکسی سرویس آرامش
445,ingham,AU,-18.65,146.16,Lees Hotel - the Pub with No Beer
447,tilichiki,RU,60.47,166.1,
448,doha,QA,25.29,51.53,Doha Marriott Hotel
449,makakilo city,US,21.35,-158.09,Marriott's Ko Olina Beach Club
450,lorengau,PG,-2.02,147.27,Lorengau Harbourside Hotel
451,anan,JP,33.91,134.64,Royal Garden Hotel
452,synya,RU,65.37,58.04,
453,thanatpin,MM,17.29,96.58,Shwe War Htun
454,altagracia de orituco,VE,9.86,-66.38,Posada Quinta Mi Refugio
455,anqing,CN,30.51,117.04,Hongtian Hotel
456,nome,US,30.04,-94.42,Silver Spur Mobile Home & RV Park
